Zero_Crossing_Rate,Range,Min,Max,Variance,Standard Deviation,Label
47,39.03,-12.86,26.17,5.16578191124608,2.27283565425353,fall
77,15.66,-8.56,7.1,3.34477037225705,1.82887133835518,fall
65,49.28,-10.04,39.24,31.5157858297414,5.61389221750306,fall
57,33.28,-19.59,13.69,13.0139754075235,3.60748879520415,fall
47,50.81,-39.24,11.57,19.1969264488636,4.38142972656913,fall
54,64.45,-39.24,25.21,25.7838666731975,5.07778166852391,fall
63,34.06,-12.22,21.84,9.90198335031348,3.14674170378083,fall
38,35.62,-20.91,14.71,7.10459291144201,2.66544422403509,fall
33,43.26,-12.83,30.43,7.04888118730408,2.65497291649163,fall
20,52.79,-39.01,13.78,11.9690358581505,3.45962943942707,fall
8,9.25,-7.75,1.5,1.31020685638715,1.14464267629123,sit
10,10.37,-8.36,2.01,1.48046871473354,1.21674513137861,sit
36,14.13,-10.09,4.04,4.44302334541536,2.10784803660401,sit
4,11.04,-10.34,0.7,2.07133056034483,1.43921178439618,sit
16,13.69,-9.95,3.74,2.64293755485893,1.62571139962139,sit
26,12.87,-9.08,3.79,2.82091880877743,1.67955911142699,sit
16,10.93,-8.86,2.07,2.56333079839342,1.60104053614936,sit
26,13.75,-10.16,3.59,3.38090957680251,1.83872498672382,sit
18,15.83,-11.35,4.48,3.32938005387931,1.82465888699212,sit
12,12.6,-9.72,2.88,2.17935936912226,1.4762653450929,sit
